Actual_Sales,Average_Price,Sales_Units,TV_GRP,Display_Impressions,Search_Clicks,Distribution_ACV,Price_Reduction_Units,Trade_Promotions_Units,Seasonality,CPI,Coupons
2112912,3.03,697331,75,51519,10655,52,53,84,91,88,1000000
2170007,2.99,725755,107,89193,15214,73,93,92,60,74,0
2284844,2.90,787877,98,65084,18146,60,57,56,67,98,0
2257913,3.03,745186,149,55083,19640,93,75,81,71,69,0
2257829,3.05,740272,108,50503,17747,57,95,88,82,75,0
2205141,2.97,742472,125,94760,10391,83,82,91,82,97,0
2238231,2.95,758722,58,98469,19155,90,68,79,94,74,0
2282328,3.00,760776,51,90496,11068,76,55,85,70,72,0
2280046,2.87,794441,133,74801,14411,86,97,90,71,91,0
2302181,3.03,759796,140,75663,15193,73,85,85,63,80,0
2261058,3.02,748695,50,75691,16823,82,54,85,76,68,0
2236509,2.93,763314,0,53666,17576,94,94,58,59,87,0
2229254,2.93,760838,0,63357,18547,58,67,58,72,79,0
2153766,2.99,720323,0,90688,19200,72,51,92,54,88,0
2123428,3.00,707809,0,69680,19516,63,63,81,68,67,0
2002305,2.99,669667,0,63944,12458,77,99,74,89,53,0
2108933,2.94,717324,149,64742,11361,62,84,88,58,80,0
2228988,2.94,758159,95,52697,16159,52,80,72,91,51,1000000
2299807,3.00,766602,54,51590,13435,74,69,80,57,71,0
2267190,2.99,758258,144,76797,19970,67,97,95,61,64,0
2341478,3.01,777900,111,85943,11460,80,56,69,50,82,0
2319150,2.88,805260,113,77898,10938,79,93,50,63,81,0
2286329,3.01,759578,85,51192,14819,85,91,91,64,54,0
2329924,2.90,803422,136,51062,17232,89,100,72,91,83,0
2328316,2.89,805646,70,52937,15111,62,87,93,63,78,0
2269327,3.03,748953,118,51359,15364,54,68,64,66,78,0
2179411,2.91,748938,0,68422,18988,70,66,55,72,67,0
2115324,2.92,724426,0,58100,17841,62,53,67,65,98,0
2148118,3.04,706618,0,85327,15579,68,51,50,67,73,0
1962898,3.05,643573,0,59938,12647,100,98,80,93,77,0
